year,month,unemployment
2009,Jan,5.7
2009,Feb,6.1
2009,Mar,6.4
2009,Apr,6.6
2009,May,6.8
2009,Jun,6.9
2009,Jul,7
2009,Aug,7.1
2009,Sep,7.2
2009,Oct,7.3
2009,Nov,7.4
2009,Dec,7.5
2010,Jan,7.6
2010,Feb,7.6
2010,Mar,7.6
2010,Apr,7.5
2010,May,7.4
2010,Jun,7.3
2010,Jul,7.2
2010,Aug,7.2
2010,Sep,7.1
2010,Oct,7.1
2010,Nov,7
2010,Dec,6.9
2011,Jan,6.7
2011,Feb,6.6
2011,Mar,6.6
2011,Apr,6.5
2011,May,6.5
2011,Jun,6.6
2011,Jul,6.6
2011,Aug,6.6
2011,Sep,6.6
2011,Oct,6.5
2011,Nov,6.4
2011,Dec,6.3
2012,Jan,6.2
2012,Feb,6.2
2012,Mar,6.1
2012,Apr,6.1
2012,May,6.1
2012,Jun,6
2012,Jul,5.9
2012,Aug,5.9
2012,Sep,5.8
2012,Oct,5.7
2012,Nov,5.7
2012,Dec,5.7
2013,Jan,5.6
2013,Feb,5.6
2013,Mar,5.6
2013,Apr,5.6
2013,May,5.6
2013,Jun,5.6
2013,Jul,5.6
2013,Aug,5.6
2013,Sep,5.5
2013,Oct,5.5
2013,Nov,5.4
2013,Dec,5.4
2014,Jan,5.3
2014,Feb,5.3
2014,Mar,5.3
2014,Apr,5.3
2014,May,5.2
2014,Jun,5.2
2014,Jul,5.1
2014,Aug,5.1
2014,Sep,5
2014,Oct,4.9
2014,Nov,4.9
2014,Dec,4.8
2015,Jan,4.7
2015,Feb,4.7
2015,Mar,4.6
2015,Apr,4.6
2015,May,4.5
2015,Jun,4.4
2015,Jul,4.3
2015,Aug,4.2
2015,Sep,4.2
2015,Oct,4.1
2015,Nov,4.1
2015,Dec,4.1
2016,Jan,4
2016,Feb,4
2016,Mar,4
2016,Apr,4
2016,May,4
2016,Jun,4
2016,Jul,4
2016,Aug,4
2016,Sep,4
2016,Oct,4
2016,Nov,4
2016,Dec,4
2017,Jan,4
2017,Feb,3.9
2017,Mar,3.8
2017,Apr,3.7
2017,May,3.7
2017,Jun,3.6
2017,Jul,3.5
2017,Aug,3.5
2017,Sep,3.5
2017,Oct,3.5
2017,Nov,3.4
2017,Dec,3.4
2018,Jan,3.4
2018,Feb,3.3
2018,Mar,3.2
2018,Apr,3.1
2018,May,2.9
2018,Jun,2.8
2018,Jul,2.8
2018,Aug,2.8
2018,Sep,2.8
2018,Oct,2.9
2018,Nov,3
2018,Dec,3
2019,Jan,3.1
2019,Feb,3
2019,Mar,2.9
2019,Apr,2.8
2019,May,2.7
2019,Jun,2.5
2019,Jul,2.5
2019,Aug,2.5
2019,Sep,2.6
2019,Oct,2.7
2019,Nov,2.7
2019,Dec,2.7
2020,Jan,2.8
2020,Feb,2.9
2020,Mar,3.2
2020,Apr,11.9
2020,May,10
2020,Jun,8.9
2020,Jul,8.3
2020,Aug,7.3
2020,Sep,6.7
2020,Oct,5.9
2020,Nov,5.3
2020,Dec,5
2021,Jan,4.8
2021,Feb,4.7
2021,Mar,4.5
2021,Apr,4.4
2021,May,4.2
2021,Jun,4
2021,Jul,3.8
2021,Aug,3.5
2021,Sep,3.3
2021,Oct,3.1
2021,Nov,2.9
2021,Dec,2.8
2022,Jan,2.7
2022,Feb,2.6
2022,Mar,2.6
2022,Apr,2.6
2022,May,2.5
2022,June,2.5
2022,July,2.6
2022,Aug,2.7
2022,Sep,2.8
2022,Oct,2.9
2022,Nov,2.9
2022,Dec,2.9
2023,Jan,2.9
2023,Feb,2.8
2023,Mar,2.7
2023,Apr,2.6
2023,May,2.5
2023,Jun,2.5
2023,Jul,2.5
2023,Aug,2.6
2023,Sep,2.7
2023,Oct,2.8
2023,Nov,2.8
2023,Dec,2.9
2024,Jan,2.8
2024,Feb,2.8
2024,Mar,2.8
2024,Apr,2.8
2024,May,2.8
2024,Jun,2.8
2024,Jul,2.8
2024,Aug,2.9
2024,Sep,2.9
2024,Oct,2.9
2024,Nov,2.9
2024,Dec,2.9
2025,Jan,3
2025,Feb,3.1
2025,Mar,3.2
2025,Apr,3.3
2025,May,3.4
